year,province,hh_size,income,value,unit,attribute,source
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","10,001 - 15,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","15,001 - 30,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","30,001 - 50,000 บาท",49.30,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","50,001 - 100,000 บาท",42.60,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","มากกว่า 100,000 บาท",8.10,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า",รายได้ทั้งสิ้นเฉลี่ยต่อเดือนต่อคน,100.00,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","ต่ำกว่า 500 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","500 - 1,500 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","1,501 - 3,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","3,001 - 5,000 บาท",26.60,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","5,001 - 10,000 บาท",65.30,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","10,001 - 15,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","15,001 - 30,000 บาท",8.10,ร้อยละ,,สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","30,001 - 50,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
2566,นครราชสีมา,"ขนาดของครัวเรือน 8 คน และมากกว่า","50,001 - 100,000 บาท",.00,ร้อยละ,"ศูนย์จุดศูนย์ยกกำลังดับเบิลยู หมายถึง ข้อมูลจากการสำรวจตัวอย่างมีค่าเป็น 0",สำนักงานสถิติแห่งชาติ
